CNTSCHID,CNTSTUID,ST001D01T,ST003D02T,ST003D03T,ST004D01T,ST250D06JA,ST250D07JA,PV1MATH,PV1READ,PV1SCIE
76400012,76405235,10,2,2007,2,7640001,7640001,529.757,499.1,516.17
76400012,76405237,10,5,2007,2,7640001,7640001,481.404,385.636,484.894
76400012,76405838,10,5,2007,1,7640001,7640002,456.746,381.588,450.842
76400012,76405870,10,4,2007,1,7640001,7640001,592.917,543.403,521.114
76400012,76406019,10,12,2006,1,7640001,7640002,398.423,368.961,426.115
76400012,76406672,10,5,2007,1,7640001,7640001,461.442,451.371,481.015
76400012,76406673,10,11,2006,2,7640001,7640001,360.613,315.811,346.326
76400012,76406913,10,2,2007,1,7640001,7640001,506.074,520.904,527.769
76400012,76406980,10,1,2007,2,7640001,7640001,573.311,441.66,579.14
76400012,76406994,10,7,2006,1,7640001,7640002,391.156,398.657,455.85
76400012,76406996,10,3,2007,1,7640001,7640001,434.368,427.667,401
76400012,76407081,10,6,2006,2,7640001,7640001,582.33,529.158,594.803
76400012,76407186,10,4,2007,2,7640001,7640001,428.438,385.175,456.207
76400012,76407247,10,12,2006,1,7640001,7640001,415.24,422.768,461.25
76400012,76407353,10,12,2006,1,7640001,7640001,540.589,467.766,505.323
76400012,76407391,10,2,2007,1,7640001,7640001,483.567,458.285,489.839
76400012,76407691,10,4,2007,1,7640001,7640001,600.503,440.093,536.579
76400012,76407725,10,4,2007,1,7640001,7640001,569.664,576.267,592.598
76400012,76407918,10,7,2006,1,7640001,7640001,531.637,467.511,569.998
76400012,76407921,10,10,2006,2,7640001,7640001,393.128,332.032,386.467
76400012,76408216,10,11,2006,1,7640001,7640001,505.611,489.254,457.089
76400012,76408523,10,9,2006,2,7640001,7640001,323.451,340.238,362.713
76400012,76408763,10,12,2006,2,7640001,7640002,376.396,360.334,366.631
76400013,76400789,9,4,2007,2,7640002,7640002,543.38,516.713,496.892
76400013,76404921,9,1,2007,2,7640002,7640002,451.29,403.051,481.135
76400013,76405333,8,2,2007,1,7640002,7640002,549.096,437.4,540.605
76400013,76405884,9,5,2007,1,7640002,7640002,512.095,414.562,465.835
76400013,76408839,9,2,2007,1,7640002,7640002,455.606,414.644,391.6
76400014,76400309,10,9,2006,2,7640001,7640002,299.224,337.304,375.232
